sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C45 H68 Na O4 S,727.472941,297.33,1325176,727.473053,0.112,0.153,45,68,0,0,1,4,1
C46 H72 Na O3 S,727.509531,406.89,1915009,727.509438,-0.093,-0.127,46,72,0,0,1,3,1
C47 H76 K O S  ,727.524844,422.43,3176581,727.524846,0.002,0.003,47,76,1,0,0,1,1
C47 H76 Na O2 S,727.545954,438.02,3153543,727.545824,-0.131,-0.179,47,76,0,0,1,2,1
C36 H79 N4 O8 S,727.561094,479.9,1374350,727.561313,0.22,0.302,36,79,0,4,0,8,1
C44 H75 N2 O6  ,727.561227,554.32,1842827,727.561965,0.738,1.014,44,75,0,2,0,6,0
C47 H76 Na O4  ,727.562803,-1000.0,1133676,727.563582,0.779,1.071,47,76,0,0,1,4,0
C49 H75 O4     ,727.565489,-1000.0,1514604,727.565987,0.498,0.684,49,75,0,0,0,4,0
C44 H80 Na O4 S,727.567212,257.9,3676304,727.566953,-0.259,-0.356,44,80,0,0,1,4,1
C51 H76 Na O   ,727.57962,470.74,1153171,727.578838,-0.783,-1.076,51,76,0,0,1,1,0
C48 H80 Na O S ,727.582616,601.59,1513104,727.582209,-0.407,-0.559,48,80,0,0,1,1,1
C49 H84 K O    ,727.615546,485.29,1384088,727.615375,-0.171,-0.234,49,84,1,0,0,1,0
C46 H88 K O S  ,727.618867,128.54,7714973,727.618747,-0.12,-0.165,46,88,1,0,0,1,1
C48 H91 N2 O2  ,727.70744,441.69,1572526,727.707507,0.066,0.091,48,91,0,2,0,2,0
C23 H10 N3 O25 ,727.960381,-1000.0,1002663,727.959789,-0.592,-0.813,23,10,0,3,0,25,0
C39 H15 K N O12,728.022213,-1000.0,1088688,728.022583,0.369,0.507,39,15,1,1,0,12,0
C46 H18 N O7 S ,728.079603,-1000.0,954552,728.07985,0.246,0.338,46,18,0,1,0,7,1
C41 H87 N Na O5 S,728.619941,510.05,1538455,728.619717,-0.224,-0.307,41,87,0,1,1,5,1
C47 H86 N O2 S ,728.637658,478.97,1094043,728.637379,-0.28,-0.384,47,86,0,1,0,2,1
C43 H90 N3 O5  ,728.686988,39.01,4479400,728.687499,0.512,0.702,43,90,0,3,0,5,0
C51 H41 N2 O3  ,729.310727,434.07,1027439,729.31117,0.443,0.607,51,41,0,2,0,3,0
C51 H62 K O    ,729.442853,-1000.0,1008003,729.443225,0.372,0.51,51,62,1,0,0,1,0
C50 H65 O2 S   ,729.470576,-1000.0,1138769,729.469979,-0.597,-0.819,50,65,0,0,0,2,1
C45 H70 Na O4 S,729.489209,524.74,1185877,729.488703,-0.506,-0.694,45,70,0,0,1,4,1
C42 H69 N2 O8  ,729.505046,496.92,1079924,729.504844,-0.203,-0.278,42,69,0,2,0,8,0
C49 H70 Na O3  ,729.52178,570.96,1073784,729.521717,-0.063,-0.087,49,70,0,0,1,3,0
C46 H74 Na O3 S,729.525558,434.38,2838622,729.525088,-0.469,-0.643,46,74,0,0,1,3,1
C47 H78 K O S  ,729.540702,375.03,2951805,729.540496,-0.206,-0.282,47,78,1,0,0,1,1
C47 H78 Na O2 S,729.561756,464.71,1839206,729.561474,-0.282,-0.387,47,78,0,0,1,2,1
C40 H77 N2 O9  ,729.562498,511.04,1993346,729.562358,-0.139,-0.191,40,77,0,2,0,9,0
C39 H77 N4 O8  ,729.574295,474.15,1069161,729.573592,-0.703,-0.963,39,77,0,4,0,8,0
C44 H77 N2 O6  ,729.577235,412.83,1573510,729.577615,0.379,0.52,44,77,0,2,0,6,0
C48 H82 Na O S ,729.59816,484.46,1267823,729.597859,-0.3,-0.412,48,82,0,0,1,1,1
C45 H86 K O2 S ,729.598753,415.05,1315468,729.598011,-0.742,-1.016,45,86,1,0,0,2,1
C50 H90 Na O   ,729.688121,-1000.0,1051298,729.688388,0.267,0.367,50,90,0,0,1,1,0
C55 H40 N O    ,730.310337,-1000.0,1103364,730.310441,0.104,0.143,55,40,0,1,0,1,0
C41 H52 N3 O7 S,730.351858,-1000.0,1368904,730.352049,0.19,0.261,41,52,0,3,0,7,1
C25 H8 Na O25  ,730.924792,-1000.0,984672,730.924686,-0.105,-0.144,25,8,0,0,1,25,0
C43 H52 K N2 O6,731.346403,126.71,1117855,731.345695,-0.708,-0.968,43,52,1,2,0,6,0
C48 H68 Na O2 S,731.484022,321.1,1057891,731.483223,-0.799,-1.092,48,68,0,0,1,2,1
C42 H76 K O5 S ,731.505244,443.03,1524840,731.504505,-0.739,-1.01,42,76,1,0,0,5,1
C43 H80 K O4 S ,731.54161,400.38,2296945,731.54089,-0.72,-0.984,43,80,1,0,0,4,1
C47 H80 K O S  ,731.55679,488.12,1876542,731.556146,-0.643,-0.879,47,80,1,0,0,1,1
C47 H80 Na O2 S,731.577844,515.88,1430650,731.577124,-0.721,-0.985,47,80,0,0,1,2,1
C44 H84 K O3 S ,731.578054,473.54,1194563,731.577276,-0.779,-1.065,44,84,1,0,0,3,1
C44 H79 N2 O6  ,731.593428,240.89,1932414,731.593265,-0.164,-0.224,44,79,0,2,0,6,0
C45 H88 K O2 S ,731.614359,549.5,1719427,731.613661,-0.698,-0.954,45,88,1,0,0,2,1
C41 H83 N2 O8  ,731.614728,388.84,1489483,731.614394,-0.334,-0.456,41,83,0,2,0,8,0
C47 H79 N4 O2  ,731.619528,179.77,1017544,731.619754,0.226,0.309,47,79,0,4,0,2,0
C45 H83 N2 O5  ,731.629499,359.23,1364559,731.62965,0.152,0.207,45,83,0,2,0,5,0
C46 H87 N2 O4  ,731.666081,520.31,1280599,731.666036,-0.045,-0.062,46,87,0,2,0,4,0
C50 H22 N O6   ,732.144533,-1000.0,1163031,732.144164,-0.369,-0.504,50,22,0,1,0,6,0
C37 H59 N Na O10 S,732.375093,-1000.0,961338,732.375189,0.096,0.131,37,59,0,1,1,10,1
C47 H71 K N3 O ,732.522972,393.04,1949030,732.522872,-0.101,-0.137,47,71,1,3,0,1,0
C39 H74 N O11  ,732.525436,286.94,3883810,732.525639,0.203,0.277,39,74,0,1,0,11,0
C43 H74 N O8   ,732.541158,571.29,1307429,732.540895,-0.264,-0.36,43,74,0,1,0,8,0
C40 H82 N3 O8  ,732.610081,377.21,1082166,732.609643,-0.438,-0.598,40,82,0,3,0,8,0
C51 H17 N4 O S ,733.112081,-1000.0,1096620,733.111759,-0.322,-0.44,51,17,0,4,0,1,1
C41 H69 N2 O9  ,733.500061,375.71,1136218,733.499758,-0.303,-0.413,41,69,0,2,0,9,0
C42 H78 K O5 S ,733.520868,390.06,1662559,733.520155,-0.713,-0.972,42,78,1,0,0,5,1
C38 H73 N2 O11 ,733.521208,502.09,1551371,733.520888,-0.32,-0.437,38,73,0,2,0,11,0
