sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C6 H5 N4 O4 S  ,229.002498,-1000.0,835240,229.002602,0.104,0.455,6,5,0,4,0,4,1
C11 H9 N4 O2   ,229.072222,-1000.0,787428,229.072002,-0.22,-0.959,11,9,0,4,0,2,0
C11 H4 N O3 S  ,229.990453,338.8,845794,229.990641,0.188,0.816,11,4,0,1,0,3,1
C5 H9 K N3 O5  ,230.017529,-1000.0,830440,230.017378,-0.151,-0.654,5,9,1,3,0,5,0
C12 H17 K N O  ,230.094341,547.7,770264,230.094172,-0.169,-0.736,12,17,1,1,0,1,0
C13 H28 N O2   ,230.21162,-1000.0,753908,230.211456,-0.165,-0.716,13,28,0,1,0,2,0
C12 H4 N2 Na O2,231.016245,-1000.0,743043,231.016498,0.253,1.095,12,4,0,2,1,2,0
C11 H12 Na O2 S,231.045083,-1000.0,746721,231.045022,-0.061,-0.264,11,12,0,0,1,2,1
C16 H23 O      ,231.174323,-1000.0,760064,231.174342,0.019,0.082,16,23,0,0,0,1,0
C7 H6 N O6 S   ,231.990885,-1000.0,752487,231.991035,0.15,0.646,7,6,0,1,0,6,1
C11 H22 N O4   ,232.154423,-1000.0,810178,232.154335,-0.088,-0.38,11,22,0,1,0,4,0
C9 H10 N2 Na O2 S,233.035699,380.44,800914,233.035519,-0.18,-0.773,9,10,0,2,1,2,1
C7 H14 Na O5 S ,233.045423,341.92,910940,233.045415,-0.007,-0.032,7,14,0,0,1,5,1
C13 H5 N4 O    ,233.045986,472.13,814684,233.045787,-0.198,-0.851,13,5,0,4,0,1,0
C10 H21 N2 O2 S,233.131996,498.75,765352,233.131826,-0.171,-0.733,10,21,0,2,0,2,1
C8 H9 K N3 O S ,234.009728,327.97,791204,234.009791,0.063,0.271,8,9,1,3,0,1,1
C11 H24 N O2 S ,234.152272,365.18,760774,234.152227,-0.045,-0.192,11,24,0,1,0,2,1
C7 H4 K N2 O5  ,234.975373,390.32,806934,234.975179,-0.194,-0.825,7,4,1,2,0,5,0
C12 H4 Na O4   ,234.999963,-1000.0,765581,235.000179,0.216,0.918,12,4,0,0,1,4,0
C6 H11 N4 O4 S ,235.049481,372.33,768039,235.049552,0.071,0.302,6,11,0,4,0,4,1
C12 H19 N4 O   ,235.155432,435.19,774017,235.155338,-0.094,-0.401,12,19,0,4,0,1,0
C6 H3 N3 Na O4 S,235.973817,-1000.0,795504,235.973647,-0.17,-0.72,6,3,0,3,1,4,1
C7 H10 N O6 S  ,236.02252,-1000.0,758019,236.022335,-0.185,-0.784,7,10,0,1,0,6,1
C10 H19 K N3 O ,236.116196,-1000.0,825745,236.11597,-0.226,-0.957,10,19,1,3,0,1,0
C15 H26 N O    ,236.200644,-1000.0,752549,236.200891,0.247,1.047,15,26,0,1,0,1,0
C10 H5 O7      ,237.003054,-1000.0,746283,237.002979,-0.075,-0.316,10,5,0,0,0,7,0
C10 H9 N2 O5   ,237.050734,515.44,769130,237.050598,-0.136,-0.575,10,9,0,2,0,5,0
C9 H17 O5 S    ,237.078954,-1000.0,846319,237.079121,0.167,0.705,9,17,0,0,0,5,1
C12 H17 N2 O S ,237.105491,329.45,758083,237.105611,0.12,0.505,12,17,0,2,0,1,1
C14 H30 Na O   ,237.218746,434.8,844125,237.218886,0.141,0.593,14,30,0,0,1,1,0
C11 H5 K N O S ,237.972573,465.45,766985,237.972343,-0.23,-0.967,11,5,1,1,0,1,1
C6 H5 N3 Na O4 S,237.989084,-1000.0,758285,237.989298,0.214,0.898,6,5,0,3,1,4,1
C10 H17 K N O S,238.066478,433.85,777043,238.066243,-0.235,-0.986,10,17,1,1,0,1,1
C12 H16 N O4   ,238.107619,-1000.0,910172,238.107384,-0.235,-0.987,12,16,0,1,0,4,0
C10 H21 K N3 O ,238.131436,366.14,764769,238.13162,0.184,0.775,10,21,1,3,0,1,0
C7 H4 Na O8    ,238.979663,-1000.0,891426,238.979838,0.175,0.733,7,4,0,0,1,8,0
C13 H7 N2 O S  ,239.027226,365.3,774557,239.02736,0.134,0.562,13,7,0,2,0,1,1
C11 H8 N2 Na O3,239.042957,587.48,848433,239.042713,-0.245,-1.023,11,8,0,2,1,3,0
C12 H19 N2 O3  ,239.138842,471.83,813126,239.139019,0.177,0.739,12,19,0,2,0,3,0
C13 H23 N2 O2  ,239.1752,429.79,789071,239.175404,0.205,0.856,13,23,0,2,0,2,0
C12 H11 N Na O S,240.045326,-1000.0,749586,240.045356,0.03,0.124,12,11,0,1,1,1,1
C11 H18 N3 O3  ,240.13408,446.88,826865,240.134268,0.188,0.784,11,18,0,3,0,3,0
C8 H10 K O6    ,241.011061,-1000.0,823274,241.010896,-0.165,-0.685,8,10,1,0,0,6,0
C10 H9 O7      ,241.034204,730.74,746831,241.034279,0.075,0.31,10,9,0,0,0,7,0
C11 H10 N2 Na O3,241.05821,-1000.0,954356,241.058363,0.153,0.634,11,10,0,2,1,3,0
C12 H21 N2 O3  ,241.154668,416.83,874708,241.154669,0.001,0.005,12,21,0,2,0,3,0
C11 H21 N4 O2  ,241.166029,607.11,806103,241.165902,-0.127,-0.527,11,21,0,4,0,2,0
C11 H9 K N O S ,242.003394,-1000.0,795677,242.003643,0.249,1.027,11,9,1,1,0,1,1
C12 H8 N3 O S  ,242.038296,510.39,857125,242.038259,-0.037,-0.152,12,8,0,3,0,1,1
C12 H13 N Na O3,242.078942,-1000.0,770093,242.078764,-0.178,-0.737,12,13,0,1,1,3,0
C14 H28 N O2   ,242.21139,-1000.0,748105,242.211456,0.065,0.27,14,28,0,1,0,2,0
C10 H4 K O3 S  ,242.951372,316.04,842132,242.951273,-0.099,-0.407,10,4,1,0,0,3,1
C7 H8 K O7     ,242.990392,584.75,879004,242.990161,-0.231,-0.952,7,8,1,0,0,7,0
C13 H20 N2 Na O,243.146781,408.08,787213,243.146784,0.003,0.014,13,20,0,2,1,1,0
C14 H7 K N O   ,244.01596,386.84,873286,244.015922,-0.039,-0.158,14,7,1,1,0,1,0
C10 H11 N3 Na O3,244.069328,486.49,781957,244.069262,-0.066,-0.269,10,11,0,3,1,3,0
C14 H23 N Na O ,244.167289,455.19,838113,244.167185,-0.104,-0.427,14,23,0,1,1,1,0
C6 H5 N4 O5 S  ,244.99754,394.75,829772,244.997517,-0.023,-0.093,6,5,0,4,0,5,1
C14 H6 Na O S  ,245.002986,-1000.0,774171,245.003157,0.17,0.695,14,6,0,0,1,1,1
C10 H10 N2 Na O4,245.053358,-1000.0,1008278,245.053278,-0.08,-0.327,10,10,0,2,1,4,0
C12 H9 N2 O4   ,245.055822,-1000.0,914470,245.055683,-0.139,-0.568,12,9,0,2,0,4,0
C13 H18 Na O3  ,245.115007,296.27,1177651,245.114815,-0.192,-0.784,13,18,0,0,1,3,0
C12 H4 K N2 O2 ,246.990412,-1000.0,957678,246.990435,0.024,0.096,12,4,1,2,0,2,0
C11 H12 Na O3 S,247.039677,-1000.0,784933,247.039936,0.259,1.049,11,12,0,0,1,3,1
C11 H6 N O6    ,248.019048,-1000.0,787095,248.018963,-0.084,-0.34,11,6,0,1,0,6,0
C14 H11 N Na O2,248.068202,-1000.0,909773,248.068199,-0.003,-0.011,14,11,0,1,1,2,0
C13 H11 N3 Na O,248.079597,-1000.0,752370,248.079433,-0.165,-0.663,13,11,0,3,1,1,0
C12 H19 N Na O S,248.107723,394.5,777685,248.107956,0.233,0.939,12,19,0,1,1,1,1
C12 H6 N2 Na O S,249.009203,342.87,837988,249.009305,0.101,0.407,12,6,0,2,1,1,1
C13 H10 K N2 O ,249.042725,-1000.0,758420,249.042471,-0.254,-1.02,13,10,1,2,0,1,0
C10 H9 N4 O2 S ,249.044284,-1000.0,766316,249.044073,-0.211,-0.847,10,9,0,4,0,2,1
C10 H17 O5 S   ,249.078864,-1000.0,756851,249.079121,0.257,1.032,10,17,0,0,0,5,1
C10 H21 N2 O5  ,249.144571,471.21,1174185,249.144498,-0.073,-0.292,10,21,0,2,0,5,0
C10 H17 K N3 O2,250.095409,406.63,788089,250.095235,-0.175,-0.698,10,17,1,3,0,2,0
C13 H20 N3 O2  ,250.154926,633.56,767055,250.155003,0.077,0.308,13,20,0,3,0,2,0
C11 H4 N2 Na O4,251.006307,-1000.0,789756,251.006327,0.021,0.083,11,4,0,2,1,4,0
C7 H11 N2 O6 S ,251.03344,459.87,791810,251.033234,-0.206,-0.822,7,11,0,2,0,6,1
C8 H15 N2 O5 S ,251.069852,375.94,757803,251.069619,-0.233,-0.928,8,15,0,2,0,5,1
C10 H19 O7     ,251.112805,484.68,815378,251.112529,-0.275,-1.097,10,19,0,0,0,7,0
C9 H19 N2 O6   ,251.123492,-1000.0,784700,251.123763,0.271,1.079,9,19,0,2,0,6,0
C14 H19 O4     ,251.127898,417.29,784149,251.127786,-0.112,-0.448,14,19,0,0,0,4,0
C11 H23 O4 S   ,251.131327,421.69,847927,251.131157,-0.171,-0.679,11,23,0,0,0,4,1
C14 H28 K O    ,251.177223,492.32,925983,251.177173,-0.05,-0.198,14,28,1,0,0,1,0
C15 H32 Na O   ,251.234523,123.97,5057612,251.234536,0.013,0.052,15,32,0,0,1,1,0
C9 H15 N3 Na O2 S,252.077633,372.4,813551,252.077719,0.086,0.339,9,15,0,3,1,2,1
C14 H15 N Na O2,252.099658,504.06,782323,252.099499,-0.158,-0.628,14,15,0,1,1,2,0
C15 H19 N Na O ,252.135941,583.78,773088,252.135885,-0.056,-0.222,15,19,0,1,1,1,0
C12 H23 N Na O S,252.139148,-1000.0,809466,252.139256,0.108,0.43,12,23,0,1,1,1,1
C11 H23 K N3 O ,252.147296,523.15,991488,252.14727,-0.025,-0.1,11,23,1,3,0,1,0
C12 H23 N Na O3,252.157088,403.71,844286,252.157014,-0.073,-0.291,12,23,0,1,1,3,0
C14 H22 N O3   ,252.159514,-1000.0,764674,252.15942,-0.094,-0.373,14,22,0,1,0,3,0
C11 H23 N3 Na O2,252.167994,-1000.0,1006852,252.168248,0.253,1.004,11,23,0,3,1,2,0
C13 H27 N Na O2,252.193222,502.97,798212,252.1934,0.178,0.705,13,27,0,1,1,2,0
C6 H2 N2 Na O6 S,252.952491,-1000.0,823427,252.952578,0.087,0.342,6,2,0,2,1,6,1
C8 H5 N4 O4 S  ,253.002487,-1000.0,792999,253.002602,0.115,0.455,8,5,0,4,0,4,1
C10 H14 K O3 S ,253.029715,48.45,3481004,253.029523,-0.191,-0.755,10,14,1,0,0,3,1
C9 H9 N4 O3 S  ,253.039011,342.25,858030,253.038988,-0.024,-0.093,9,9,0,4,0,3,1
C13 H9 N4 O2   ,253.071892,429.24,767412,253.072002,0.11,0.435,13,9,0,4,0,2,0
C11 H18 Na O3 S,253.087141,-1000.0,758942,253.086886,-0.254,-1.004,11,18,0,0,1,3,1
C12 H22 Na O4  ,253.141306,163.05,1666498,253.14103,-0.276,-1.09,12,22,0,0,1,4,0
C14 H30 K O    ,253.192994,568.66,771763,253.192823,-0.17,-0.673,14,30,1,0,0,1,0
C17 H33 O      ,253.252414,-1000.0,788951,253.252592,0.178,0.703,17,33,0,0,0,1,0
C15 H5 K N O   ,254.000415,428.65,836945,254.000272,-0.144,-0.566,15,5,1,1,0,1,0
C12 H4 N3 O4   ,254.019372,394.51,754004,254.019632,0.26,1.022,12,4,0,3,0,4,0
C13 H13 N Na O S,254.061082,-1000.0,797532,254.061006,-0.076,-0.298,13,13,0,1,1,1,1
C8 H13 N3 Na O5,254.074787,-1000.0,766582,254.074741,-0.046,-0.181,8,13,0,3,1,5,0
C13 H13 N Na O3,254.079031,-1000.0,789111,254.078764,-0.267,-1.049,13,13,0,1,1,3,0
C12 H16 N O5   ,254.102513,-1000.0,813412,254.102299,-0.214,-0.842,12,16,0,1,0,5,0
C9 H12 Na O5 S ,255.029616,386.87,776203,255.029765,0.149,0.584,9,12,0,0,1,5,1
C18 H7 O2      ,255.044271,-1000.0,782350,255.044056,-0.215,-0.843,18,7,0,0,0,2,0
C19 H11 O      ,255.080422,458.85,800276,255.080441,0.02,0.078,19,11,0,0,0,1,0
C18 H23 O      ,255.1741,-1000.0,818232,255.174342,0.242,0.948,18,23,0,0,0,1,0
C13 H28 Na O3  ,255.193313,-1000.0,1152041,255.193065,-0.247,-0.968,13,28,0,0,1,3,0
C13 H27 N4 O   ,255.218121,486.83,841553,255.217938,-0.183,-0.719,13,27,0,4,0,1,0
C9 H3 N3 Na O3 S,255.978761,334.19,919252,255.978733,-0.028,-0.11,9,3,0,3,1,3,1
C11 H11 N3 Na O3,256.069276,-1000.0,762865,256.069262,-0.014,-0.055,11,11,0,3,1,3,0
C14 H6 K N2 O  ,257.011112,385.77,848795,257.011171,0.059,0.23,14,6,1,2,0,1,0
C10 H18 Na O4 S,257.081939,-1000.0,761256,257.081801,-0.138,-0.537,10,18,0,0,1,4,1
C12 H17 O6     ,257.10188,-1000.0,937339,257.101965,0.085,0.33,12,17,0,0,0,6,0
C10 H12 N O5 S ,258.043159,-1000.0,798751,258.04307,-0.089,-0.345,10,12,0,1,0,5,1
C11 H16 N O6   ,258.097487,499.74,767082,258.097214,-0.273,-1.057,11,16,0,1,0,6,0
C9 H4 K N2 O3 S,258.957414,312.15,807692,258.957421,0.007,0.029,9,4,1,2,0,3,1
C16 H12 K O    ,259.051946,365.57,778956,259.051973,0.027,0.102,16,12,1,0,0,1,0
C13 H11 N2 O2 S,259.053484,321.42,776908,259.053575,0.092,0.354,13,11,0,2,0,2,1
C14 H15 N2 O S ,259.09008,404.96,801312,259.089961,-0.119,-0.46,14,15,0,2,0,1,1
C13 H20 N2 Na O2,259.141662,-1000.0,851675,259.141699,0.037,0.141,13,20,0,2,1,2,0
C10 H7 K N O3 S,259.977747,-1000.0,815977,259.977822,0.075,0.29,10,7,1,1,0,3,1
C7 H15 K N3 O5 ,260.064562,406.57,784081,260.064329,-0.234,-0.9,7,15,1,3,0,5,0
C14 H14 N O2 S ,260.074128,-1000.0,863098,260.073976,-0.152,-0.584,14,14,0,1,0,2,1
C9 H14 N3 O6   ,260.087729,566.63,868320,260.087712,-0.018,-0.069,9,14,0,3,0,6,0
C17 H26 N O    ,260.201124,-1000.0,762767,260.200891,-0.233,-0.896,17,26,0,1,0,1,0
C14 H30 N O3   ,260.222178,424.34,765843,260.22202,-0.158,-0.606,14,30,0,1,0,3,0
C13 H6 K N2 O2 ,261.006259,-1000.0,788106,261.006085,-0.174,-0.665,13,6,1,2,0,2,0
C10 H10 N2 Na O3 S,261.030373,-1000.0,840847,261.030434,0.061,0.233,10,10,0,2,1,3,1
C15 H10 Na O3  ,261.052269,455.57,814978,261.052215,-0.054,-0.205,15,10,0,0,1,3,0
C10 H17 N2 O4 S,261.090181,482.71,1485705,261.090355,0.173,0.664,10,17,0,2,0,4,1
C14 H17 N2 O S ,261.105784,-1000.0,918567,261.105611,-0.174,-0.665,14,17,0,2,0,1,1
C9 H17 N4 O5   ,261.119443,-1000.0,821801,261.119346,-0.097,-0.371,9,17,0,4,0,5,0
C12 H17 K N O S,262.066362,-1000.0,770381,262.066243,-0.119,-0.454,12,17,1,1,0,1,1
C8 H17 N Na O5 S,262.071833,437.95,811575,262.071965,0.131,0.501,8,17,0,1,1,5,1
C13 H21 N Na O S,262.123459,415.29,793431,262.123606,0.147,0.562,13,21,0,1,1,1,1
C11 H24 N3 O2 S,262.158141,390.67,828766,262.158375,0.234,0.891,11,24,0,3,0,2,1
C12 H16 K O2 S ,263.050469,433.46,839015,263.050259,-0.211,-0.801,12,16,1,0,0,2,1
C7 H15 N Na O6 S,264.051464,380.28,773129,264.051229,-0.235,-0.891,7,15,0,1,1,6,1
C9 H14 N O6 S  ,264.053886,368.79,868241,264.053635,-0.252,-0.953,9,14,0,1,0,6,1
C12 H14 N3 O4  ,264.097761,381.85,1691325,264.097882,0.122,0.46,12,14,0,3,0,4,0
C17 H14 N O2   ,264.101663,-1000.0,898750,264.101905,0.242,0.916,17,14,0,1,0,2,0
C15 H9 N2 O S  ,265.042839,378.66,786790,265.043011,0.171,0.647,15,9,0,2,0,1,1
C11 H9 N2 O6   ,265.045696,611.59,834107,265.045512,-0.184,-0.693,11,9,0,2,0,6,0
C7 H13 N4 O5 S ,265.060021,-1000.0,813929,265.060117,0.096,0.363,7,13,0,4,0,5,1
C14 H14 K N2 O ,265.073812,303.38,1949248,265.073771,-0.041,-0.155,14,14,1,2,0,1,0
C9 H17 N2 O7   ,265.103146,-1000.0,849989,265.103027,-0.119,-0.448,9,17,0,2,0,7,0
C18 H17 O2     ,265.122092,-1000.0,773704,265.122306,0.214,0.806,18,17,0,0,0,2,0
C18 H33 O      ,265.252376,601.48,889032,265.252592,0.216,0.815,18,33,0,0,0,1,0
C7 H5 N3 Na O5 S,265.984396,378.21,803853,265.984212,-0.184,-0.693,7,5,0,3,1,5,1
C13 H9 N Na O2 S,266.024523,277.03,890900,266.02462,0.097,0.364,13,9,0,1,1,2,1
C14 H8 N3 O S  ,266.038368,378.73,794340,266.038259,-0.108,-0.407,14,8,0,3,0,1,1
C14 H20 N O4   ,266.138415,-1000.0,772137,266.138685,0.269,1.012,14,20,0,1,0,4,0
C16 H28 N O2   ,266.211223,413.67,940085,266.211456,0.233,0.875,16,28,0,1,0,2,0
C13 H12 K N2 O2,267.053267,-1000.0,845711,267.053036,-0.231,-0.866,13,12,1,2,0,2,0
C9 H15 O9      ,267.071309,-1000.0,1339597,267.071058,-0.25,-0.937,9,15,0,0,0,9,0
C9 H19 N2 O5 S ,267.101008,-1000.0,874391,267.100919,-0.088,-0.331,9,19,0,2,0,5,1
C14 H19 O5     ,267.122699,-1000.0,849110,267.1227,0.002,0.006,14,19,0,0,0,5,0
C18 H19 O2     ,267.138078,-1000.0,825245,267.137956,-0.121,-0.454,18,19,0,0,0,2,0
C15 H23 O4     ,267.159,8.12,4630433,267.159086,0.085,0.319,15,23,0,0,0,4,0
C19 H23 O      ,267.174228,-1000.0,915679,267.174342,0.114,0.427,19,23,0,0,0,1,0
C16 H27 O3     ,267.195401,125.86,3147687,267.195471,0.071,0.264,16,27,0,0,0,3,0
C13 H28 N2 Na O2,267.204309,784.26,790522,267.204299,-0.01,-0.037,13,28,0,2,1,2,0
C14 H27 N4 O   ,267.217741,449.59,959718,267.217938,0.197,0.739,14,27,0,4,0,1,0
C17 H31 O2     ,267.231793,502.65,1267433,267.231857,0.064,0.239,17,31,0,0,0,2,0
C18 H35 O      ,267.268173,287.18,1140659,267.268242,0.069,0.258,18,35,0,0,0,1,0
C15 H26 N O3   ,268.190837,491.36,867404,268.19072,-0.117,-0.435,15,26,0,1,0,3,0
C12 H6 Na O6   ,269.005765,-1000.0,971804,269.005659,-0.106,-0.395,12,6,0,0,1,6,0
C10 H9 N2 O5 S ,269.022932,357.18,785680,269.022669,-0.263,-0.979,10,9,0,2,0,5,1
C15 H13 N2 O S ,269.074351,385.42,766174,269.074311,-0.04,-0.15,15,13,0,2,0,1,1
C13 H17 O6     ,269.102244,-1000.0,847917,269.101965,-0.279,-1.038,13,17,0,0,0,6,0
C14 H21 O5     ,269.138572,-1000.0,1272371,269.13835,-0.222,-0.826,14,21,0,0,0,5,0
C17 H21 N2 O   ,269.165104,578.31,827960,269.16484,-0.264,-0.981,17,21,0,2,0,1,0
C15 H25 O4     ,269.174922,-1000.0,2878009,269.174736,-0.186,-0.692,15,25,0,0,0,4,0
C19 H25 O      ,269.190199,-1000.0,998972,269.189992,-0.208,-0.771,19,25,0,0,0,1,0
C16 H29 O3     ,269.211345,-1000.0,938560,269.211121,-0.224,-0.831,16,29,0,0,0,3,0
C17 H33 O2     ,269.247726,-1000.0,4262470,269.247507,-0.219,-0.814,17,33,0,0,0,2,0
C13 H8 N3 O2 S ,270.033024,383.41,767912,270.033174,0.15,0.556,13,8,0,3,0,2,1
C11 H16 N3 O3 S,270.090761,-1000.0,774020,270.090689,-0.072,-0.268,11,16,0,3,0,3,1
C13 H24 N3 O3  ,270.181192,-1000.0,794558,270.181218,0.026,0.095,13,24,0,3,0,3,0
C12 H8 Na O4 S ,271.003267,357.76,768568,271.003551,0.284,1.048,12,8,0,0,1,4,1
C9 H7 N2 O8    ,271.019514,451.66,795162,271.019692,0.178,0.657,9,7,0,2,0,8,0
C13 H7 N2 O5   ,271.034963,-1000.0,904252,271.034948,-0.015,-0.056,13,7,0,2,0,5,0
C9 H11 N4 O6   ,271.067416,-1000.0,963452,271.067311,-0.106,-0.39,9,11,0,4,0,6,0
C13 H19 O6     ,271.117433,429.77,771657,271.117615,0.181,0.669,13,19,0,0,0,6,0
C12 H24 Na O3 S,271.133612,364.91,831367,271.133837,0.225,0.829,12,24,0,0,1,3,1
C19 H27 O      ,271.205881,-1000.0,2588246,271.205642,-0.239,-0.881,19,27,0,0,0,1,0
C16 H31 O3     ,271.226996,-1000.0,2656857,271.226771,-0.225,-0.828,16,31,0,0,0,3,0
C13 H6 N O4 S  ,272.001056,332.61,772121,272.001205,0.15,0.55,13,6,0,1,0,4,1
C10 H7 N3 Na O3 S,272.009792,-1000.0,781004,272.010033,0.241,0.886,10,7,0,3,1,3,1
C7 H11 N3 Na O5 S,272.031251,-1000.0,826398,272.031162,-0.089,-0.326,7,11,0,3,1,5,1
C16 H11 K N O  ,272.04694,-1000.0,914465,272.047222,0.282,1.035,16,11,1,1,0,1,0
C9 H19 K N3 O4 ,272.100957,380.33,769753,272.100714,-0.243,-0.892,9,19,1,3,0,4,0
C9 H19 N3 Na O5,272.121467,497.12,787146,272.121691,0.224,0.823,9,19,0,3,1,5,0
C10 H6 K N2 O5 ,272.991064,366.48,774490,272.990829,-0.235,-0.861,10,6,1,2,0,5,0
C12 H17 O5 S   ,273.079167,355.42,837474,273.079121,-0.046,-0.168,12,17,0,0,0,5,1
C12 H26 K O2 S ,273.128696,284.32,875733,273.128509,-0.187,-0.685,12,26,1,0,0,2,1
C12 H26 Na O3 S,273.149396,259.61,2022253,273.149487,0.091,0.333,12,26,0,0,1,3,1
C14 H25 O3 S   ,273.152025,-1000.0,786801,273.151892,-0.133,-0.485,14,25,0,0,0,3,1
C15 H29 O4     ,273.20626,370.39,941942,273.206036,-0.224,-0.82,15,29,0,0,0,4,0
C12 H4 N O7    ,273.998294,-1000.0,833514,273.998228,-0.066,-0.239,12,4,0,1,0,7,0
C14 H21 N Na O3,274.141429,-1000.0,785919,274.141364,-0.064,-0.235,14,21,0,1,1,3,0
C14 H28 N O2 S ,274.183433,483.08,821635,274.183527,0.094,0.342,14,28,0,1,0,2,1
C13 H28 N3 O3  ,274.212296,-1000.0,982036,274.212518,0.222,0.81,13,28,0,3,0,3,0
C8 H7 N2 O9    ,275.014516,-1000.0,1523212,275.014606,0.09,0.327,8,7,0,2,0,9,0
C14 H20 Na O2 S,275.107407,531.01,863879,275.107622,0.214,0.779,14,20,0,0,1,2,1
C11 H24 Na O4 S,275.128942,325.99,1019422,275.128751,-0.191,-0.694,11,24,0,0,1,4,1
C14 H19 N4 O2  ,275.150038,-1000.0,1131042,275.150252,0.214,0.778,14,19,0,4,0,2,0
C15 H23 N4 O   ,275.186469,638.57,882859,275.186638,0.168,0.612,15,23,0,4,0,1,0
C9 H3 K N O5 S ,275.936282,-1000.0,818427,275.936351,0.069,0.249,9,3,1,1,0,5,1
C13 H10 N O4 S ,276.032651,380.8,775857,276.032505,-0.145,-0.527,13,10,0,1,0,4,1
C13 H19 N Na O2 S,276.103079,315.04,937661,276.102871,-0.208,-0.754,13,19,0,1,1,2,1
C12 H26 N3 O2 S,276.173763,429.2,841539,276.174025,0.262,0.949,12,26,0,3,0,2,1
C13 H26 N O5   ,276.180605,588.97,804676,276.180549,-0.056,-0.201,13,26,0,1,0,5,0
C6 H10 K N2 O6 S,276.989409,298.28,878412,276.989115,-0.294,-1.06,6,10,1,2,0,6,1
C11 H5 N2 O7   ,277.008846,-1000.0,921423,277.009127,0.281,1.015,11,5,0,2,0,7,0
C11 H9 N4 O3 S ,277.038766,-1000.0,949703,277.038988,0.222,0.8,11,9,0,4,0,3,1
C17 H13 N2 O2  ,277.097049,-1000.0,776541,277.097154,0.105,0.378,17,13,0,2,0,2,0
C13 H17 N4 O S ,277.111654,-1000.0,814494,277.111759,0.105,0.379,13,17,0,4,0,1,1
C16 H21 O2 S   ,277.125602,396.4,807380,277.125678,0.076,0.274,16,21,0,0,0,2,1
C15 H26 Na O S ,277.159564,409.12,788389,277.159657,0.093,0.336,15,26,0,0,1,1,1
C19 H33 O      ,277.252401,537.22,899958,277.252592,0.192,0.691,19,33,0,0,0,1,0
C9 H12 N O7 S  ,278.033041,-1000.0,859635,278.032899,-0.141,-0.508,9,12,0,1,0,7,1
C12 H12 N3 O5  ,278.077452,445.13,835171,278.077147,-0.306,-1.099,12,12,0,3,0,5,0
C13 H21 K N O3 ,278.115506,297.74,932457,278.115301,-0.205,-0.737,13,21,1,1,0,3,0
C11 H11 N4 O5  ,279.072648,-1000.0,861864,279.072396,-0.252,-0.903,11,11,0,4,0,5,0
C11 H16 N2 Na O3 S,279.077311,-1000.0,778409,279.077384,0.073,0.262,11,16,0,2,1,3,1
C15 H16 K N2 O ,279.089289,-1000.0,813211,279.089421,0.132,0.474,15,16,1,2,0,1,0
C16 H15 N4 O   ,279.124033,407.32,802464,279.124038,0.004,0.015,16,15,0,4,0,1,0
C15 H23 N2 O3  ,279.170329,451.78,801461,279.170319,-0.01,-0.036,15,23,0,2,0,3,0
C13 H7 K N O2 S,279.982828,-1000.0,793984,279.982908,0.079,0.283,13,7,1,1,0,2,1
C9 H7 N Na O6 S,279.988376,-1000.0,825640,279.988629,0.253,0.902,9,7,0,1,1,6,1
C9 H11 K N3 O3 S,280.015575,-1000.0,782124,280.01527,-0.305,-1.089,9,11,1,3,0,3,1
C12 H13 N2 O4 S,281.059208,453.03,826800,281.059055,-0.154,-0.547,12,13,0,2,0,4,1
C14 H9 N4 O3   ,281.066776,407.21,851889,281.066917,0.14,0.499,14,9,0,4,0,3,0
C19 H9 N2 O    ,281.071164,-1000.0,885201,281.070939,-0.224,-0.798,19,9,0,2,0,1,0
C16 H28 N O3   ,282.206141,390.69,859333,282.20637,0.229,0.811,16,28,0,1,0,3,0
C13 H8 Na O4 S ,283.003708,-1000.0,884397,283.003551,-0.157,-0.555,13,8,0,0,1,4,1
C9 H12 N2 Na O5 S,283.036,-1000.0,934656,283.035913,-0.086,-0.305,9,12,0,2,1,5,1
C16 H15 N2 O S ,283.089867,487.88,813893,283.089961,0.094,0.331,16,15,0,2,0,1,1
C17 H15 O4     ,283.096532,-1000.0,788746,283.096485,-0.047,-0.166,17,15,0,0,0,4,0
C13 H24 Na O5  ,283.151417,-1000.0,789696,283.151595,0.178,0.629,13,24,0,0,1,5,0
C14 H27 N4 O2  ,283.212981,479.36,843036,283.212853,-0.129,-0.455,14,27,0,4,0,2,0
C7 H3 K N O7 S ,283.926066,-1000.0,821692,283.926181,0.114,0.402,7,3,1,1,0,7,1
C15 H10 N O5   ,284.055447,-1000.0,829747,284.055349,-0.099,-0.347,15,10,0,1,0,5,0
C9 H18 N O7 S  ,284.080109,-1000.0,788946,284.07985,-0.259,-0.912,9,18,0,1,0,7,1
C9 H15 N3 Na O6,284.085528,-1000.0,789971,284.085306,-0.222,-0.781,9,15,0,3,1,6,0
C8 H6 K O7 S   ,284.946628,225.17,1164323,284.946582,-0.046,-0.162,8,6,1,0,0,7,1
C13 H26 Na O3 S,285.149559,-1000.0,786026,285.149487,-0.072,-0.253,13,26,0,0,1,3,1
C13 H25 N4 O S ,285.174191,422.92,831557,285.174359,0.168,0.589,13,25,0,4,0,1,1
C16 H29 O4     ,285.205908,415.76,985714,285.206036,0.128,0.447,16,29,0,0,0,4,0
