Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,sum formula,C,H,K,N,Na,O,S
464.371403,524.85,885355,464.37103,-0.373,-0.803,C26 H51 N Na O4,26,51,0,1,1,4,0
464.407823,-1000.0,944752,464.407415,-0.408,-0.879,C27 H55 N Na O3,27,55,0,1,1,3,0
464.446444,586.42,867957,464.446207,-0.237,-0.51,C30 H58 N O2   ,30,58,0,1,0,2,0
465.280617,441.23,2187998,465.280657,0.04,0.086,C21 H41 N2 O9  ,21,41,0,2,0,9,0
465.288449,451.3,874207,465.288051,-0.397,-0.854,C23 H45 O7 S   ,23,45,0,0,0,7,1
465.297887,565.21,975584,465.297531,-0.357,-0.766,C28 H42 Na O4  ,28,42,0,0,1,4,0
465.334174,-1000.0,953061,465.333916,-0.258,-0.554,C29 H46 Na O3  ,29,46,0,0,1,3,0
465.337319,374.37,1077989,465.337287,-0.032,-0.069,C26 H50 Na O3 S,26,50,0,0,1,3,1
465.354986,315.78,1018599,465.355045,0.06,0.129,C26 H50 Na O5  ,26,50,0,0,1,5,0
466.276137,403.18,881500,466.275906,-0.23,-0.494,C20 H40 N3 O9  ,20,40,0,3,0,9,0
467.094963,421.73,904131,467.094771,-0.192,-0.411,C28 H19 O5 S   ,28,19,0,0,0,5,1
467.102776,212.12,4967364,467.102633,-0.142,-0.305,C30 H15 N2 O4  ,30,15,0,2,0,4,0
467.160368,220.6,1973195,467.160148,-0.219,-0.47,C28 H23 N2 O5  ,28,23,0,2,0,5,0
467.190038,383.68,1137615,467.190009,-0.029,-0.062,C28 H27 N4 O S ,28,27,0,4,0,1,1
467.241072,494.57,1402325,467.240562,-0.51,-1.092,C23 H40 K O7   ,23,40,1,0,0,7,0
467.243736,380.79,2325462,467.244153,0.416,0.891,C29 H31 N4 O2  ,29,31,0,4,0,2,0
467.313333,460.63,1135583,467.313181,-0.153,-0.326,C28 H44 Na O4  ,28,44,0,0,1,4,0
468.036022,-1000.0,878650,468.035973,-0.049,-0.104,C20 H15 N Na O9 S,20,15,0,1,1,9,1
468.181328,-1000.0,871500,468.181515,0.187,0.4,C24 H31 N Na O5 S,24,31,0,1,1,5,1
468.244378,332.08,1891412,468.244542,0.164,0.35,C25 H39 K N3 O S,25,39,1,3,0,1,1
468.362041,404.89,1137763,468.361825,-0.216,-0.461,C26 H50 N3 O2 S,26,50,0,3,0,2,1
468.384645,126.14,15715429,468.384572,-0.073,-0.156,C26 H55 N Na O2 S,26,55,0,1,1,2,1
469.082246,269.91,2620605,469.081898,-0.348,-0.742,C29 H13 N2 O5  ,29,13,0,2,0,5,0
469.111429,467.11,1080513,469.111759,0.33,0.703,C29 H17 N4 O S ,29,17,0,4,0,1,1
469.12527,248.22,1959107,469.125678,0.408,0.869,C32 H21 O2 S   ,32,21,0,0,0,2,1
469.147303,171.06,1133766,469.146807,-0.496,-1.057,C29 H25 O4 S   ,29,25,0,0,0,4,1
469.148705,65.02,2399430,469.148657,-0.048,-0.102,C17 H29 N2 O11 S,17,29,0,2,0,11,1
469.158468,307.93,896199,469.158692,0.224,0.477,C36 H21 O      ,36,21,0,0,0,1,0
469.293088,348.46,1343704,469.292597,-0.49,-1.045,C24 H46 K O6   ,24,46,1,0,0,6,0
470.081744,240.53,1361211,470.082135,0.392,0.833,C28 H17 N Na O3 S,28,17,0,1,1,3,1
470.157075,-1000.0,930116,470.157312,0.237,0.503,C32 H24 N O S  ,32,24,0,1,0,1,1
470.332505,551.43,1353051,470.332359,-0.146,-0.31,C22 H48 N O9   ,22,48,0,1,0,9,0
471.06148,-1000.0,1727926,471.061163,-0.318,-0.675,C28 H11 N2 O6  ,28,11,0,2,0,6,0
471.110535,500.39,1093052,471.110398,-0.137,-0.29,C31 H16 N2 Na O2,31,16,0,2,1,2,0
471.122019,343.19,886206,471.122049,0.03,0.063,C23 H23 N2 O7 S,23,23,0,2,0,7,1
471.22093,-1000.0,1126858,471.221309,0.379,0.804,C28 H31 N4 O S ,28,31,0,4,0,1,1
471.244875,471.42,882125,471.244941,0.065,0.139,C21 H35 N4 O8  ,21,35,0,4,0,8,0
471.248811,464.73,1060302,471.248963,0.152,0.323,C26 H35 N2 O6  ,26,35,0,2,0,6,0
471.453144,-1000.0,1002983,471.453637,0.493,1.046,C31 H60 Na O   ,31,60,0,0,1,1,0
472.107851,628.19,1068602,472.108053,0.202,0.428,C32 H14 N3 O2  ,32,14,0,3,0,2,0
472.109493,349.86,4656698,472.109822,0.329,0.698,C32 H19 K N O  ,32,19,1,1,0,1,0
472.113935,563.53,973370,472.113926,-0.009,-0.019,C25 H18 N3 O7  ,25,18,0,3,0,7,0
472.135049,-1000.0,894525,472.135056,0.007,0.014,C22 H22 N3 O9  ,22,22,0,3,0,9,0
473.089046,519.6,892085,473.088559,-0.487,-1.029,C14 H21 N2 O16 ,14,21,0,2,0,16,0
473.101949,253.37,4538039,473.101965,0.016,0.033,C30 H17 O6     ,30,17,0,0,0,6,0
473.104351,70.73,12570295,473.104781,0.43,0.909,C13 H26 N2 Na O13 S,13,26,0,2,1,13,1
473.301493,557.06,960207,473.300999,-0.494,-1.043,C27 H41 N2 O5  ,27,41,0,2,0,5,0
473.340798,200.31,10817236,473.340756,-0.042,-0.089,C25 H49 N2 O4 S,25,49,0,2,0,4,1
474.002422,-1000.0,1519399,474.002662,0.24,0.506,C22 H8 N3 O8 S ,22,8,0,3,0,8,1
474.156317,-1000.0,927547,474.155846,-0.471,-0.993,C19 H33 K N O8 S,19,33,1,1,0,8,1
474.336438,437.73,968529,474.336656,0.218,0.459,C32 H44 N O2   ,32,44,0,1,0,2,0
474.349282,-1000.0,5574483,474.348855,-0.427,-0.9,C26 H49 N3 Na O S,26,49,0,3,1,1,1
475.100258,-1000.0,2170801,475.099857,-0.402,-0.846,C30 H19 O4 S   ,30,19,0,0,0,4,1
475.110839,279.2,1132466,475.11109,0.251,0.529,C29 H19 N2 O3 S,29,19,0,2,0,3,1
475.174665,-1000.0,1949626,475.17513,0.465,0.979,C28 H27 O7     ,28,27,0,0,0,7,0
475.306932,79.17,7917515,475.306753,-0.179,-0.377,C29 H39 N4 O2  ,29,39,0,4,0,2,0
475.32607,95.2,634671040,475.326545,0.475,0.999,C25 H47 O8     ,25,47,0,0,0,8,0
475.427466,-1000.0,1028058,475.427574,0.109,0.228,C30 H60 K O    ,30,60,1,0,0,1,0
476.321666,489.83,1169482,476.321794,0.128,0.269,C24 H46 N O8   ,24,46,0,1,0,8,0
477.227268,-1000.0,944315,477.227165,-0.103,-0.216,C29 H33 O6     ,29,33,0,0,0,6,0
477.296524,470.15,1050820,477.296879,0.355,0.744,C21 H46 N2 Na O6 S,21,46,0,2,1,6,1
477.463848,344.1,903385,477.464202,0.354,0.742,C30 H62 Na O2  ,30,62,0,0,1,2,0
478.12055,-1000.0,880939,478.120235,-0.315,-0.659,C34 H17 N Na O ,34,17,0,1,1,1,0
478.286284,449.03,1245504,478.286255,-0.029,-0.061,C27 H41 N3 Na O S,27,41,0,3,1,1,1
478.288145,251.93,4448576,478.288661,0.516,1.079,C29 H40 N3 O S ,29,40,0,3,0,1,1
479.157293,-1000.0,1276333,479.157743,0.449,0.937,C27 H24 N2 Na O5,27,24,0,2,1,5,0
479.260111,440.47,3441082,479.259922,-0.19,-0.396,C21 H39 N2 O10 ,21,39,0,2,0,10,0
479.271093,629.0,1006011,479.271074,-0.02,-0.041,C32 H40 K O    ,32,40,1,0,0,1,0
479.291334,228.85,2757053,479.2914,0.066,0.138,C24 H44 N2 Na O4 S,24,44,0,2,1,4,1
479.321446,463.66,1520065,479.32146,0.013,0.027,C24 H47 O9     ,24,47,0,0,0,9,0
480.280439,513.69,1001017,480.280323,-0.116,-0.241,C22 H42 N O10  ,22,42,0,1,0,10,0
480.960541,-1000.0,873614,480.960953,0.412,0.857,C14 H6 N2 Na O16,14,6,0,2,1,16,0
481.031088,-1000.0,918167,481.031222,0.134,0.279,C20 H14 N2 Na O9 S,20,14,0,2,1,9,1
481.254198,421.3,894131,481.25371,-0.488,-1.014,C28 H42 K O2 S ,28,42,1,0,0,2,1
481.262927,117.22,5452468,481.263174,0.247,0.512,C27 H37 N4 O2 S,27,37,0,4,0,2,1
481.26741,436.64,890548,481.267293,-0.117,-0.243,C26 H38 N2 Na O5,26,38,0,2,1,5,0
482.186485,197.27,2120487,482.186303,-0.182,-0.377,C32 H24 N3 O2  ,32,24,0,3,0,2,0
482.266173,438.22,1231665,482.266565,0.392,0.813,C30 H37 N Na O3,30,37,0,1,1,3,0
483.141058,60.57,4658079,483.141328,0.27,0.559,C33 H23 O2 S   ,33,23,0,0,0,2,1
483.31352,524.14,977844,483.313872,0.353,0.729,C27 H47 O5 S   ,27,47,0,0,0,5,1
483.323242,501.56,1557429,483.323351,0.109,0.226,C32 H44 Na O2  ,32,44,0,0,1,2,0
483.456268,-1000.0,875462,483.456043,-0.225,-0.465,C34 H59 O      ,34,59,0,0,0,1,0
484.143154,218.81,1100828,484.142698,-0.456,-0.943,C16 H31 K N O13,16,31,1,1,0,13,0
484.202215,361.37,1119267,484.201954,-0.262,-0.541,C32 H26 N3 O2  ,32,26,0,3,0,2,0
484.332028,530.23,1170484,484.332239,0.211,0.436,C32 H42 N3 O   ,32,42,0,3,0,1,0
484.938382,486.56,978047,484.938913,0.531,1.095,C18 H6 K O14   ,18,6,1,0,0,14,0
485.089737,488.88,950418,485.089663,-0.074,-0.152,C31 H14 N2 Na O3,31,14,0,2,1,3,0
485.11351,176.52,18551958,485.113198,-0.312,-0.643,C30 H17 N2 O5  ,30,17,0,2,0,5,0
485.150203,-1000.0,871578,485.150549,0.346,0.713,C26 H26 N2 Na O4 S,26,26,0,2,1,4,1
485.280771,487.41,1142954,485.280835,0.064,0.133,C26 H42 N2 Na O3 S,26,42,0,2,1,3,1
485.290668,119.57,3949739,485.291103,0.435,0.896,C30 H37 N4 O2  ,30,37,0,4,0,2,0
485.352333,624.9,969907,485.35264,0.308,0.634,C33 H45 N2 O   ,33,45,0,2,0,1,0
485.944979,-1000.0,931069,485.945395,0.416,0.855,C16 H5 K N3 O13,16,5,1,3,0,13,0
485.963497,-1000.0,945407,485.964023,0.525,1.081,C17 H9 K N3 O10 S,17,9,1,3,0,10,1
